tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-max()-X,tBodyAcc-max()-Y,tBodyAcc-max()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,Activity
0.165020481,0.046008183,0.058455334,17.76551628,4.583465576,6.995406628,0.025533676,0.416921616,0.051074028,shaking
0.012515121,0.020606593,0.022243791,15.62632561,6.309875488,9.527023315,0.188464355,0.247463989,-0.158957926,shaking
-0.159423719,-0.034590014,0.009237672,15.34996223,5.55255127,10.40040588,0.225231716,0.194226946,-0.241195679,shaking
-0.112531596,-0.052343026,0.001648808,14.34498596,3.810562134,8.998214722,0.164839745,0.226688385,0.197260857,shaking
0.004418842,0.029543355,0.033866362,14.71705627,4.383651733,9.505493164,0.138694763,0.294952393,-0.139845848,shaking
-0.130269894,0.018393732,-0.015537893,12.02511597,4.662414551,11.16610718,0.262020874,0.386112467,-0.433556112,shaking
-0.049510465,0.001718509,-0.196974395,13.59721184,5.020141602,12.75494385,0.255515099,0.238679886,0.117054939,shaking
-0.152247416,0.022699789,-0.094660157,14.72543335,5.228317261,11.34317017,0.188009262,-0.245847702,-0.120714188,shaking
-0.243323884,0.007101792,0.082191932,15.17048836,3.473175049,8.931213379,0.29043986,0.069011434,0.077978516,shaking
-0.071190444,-0.008262481,-0.199070057,12.88415337,3.756729126,5.953338623,0.151127815,0.173258781,0.401269913,shaking
0.245792661,0.023275598,-0.015934159,12.49291992,3.440887451,8.283950806,0.363109589,0.136218071,-0.212932587,shaking
0.067977295,0.0532241,0.180698577,13.37349129,3.979263306,8.41078186,0.217035566,0.32699149,0.007002694,shaking
-0.063282259,0.017483622,0.030492431,13.19761848,2.957519531,9.533004761,0.386472575,0.249651082,-0.409561157,shaking
-0.233323422,-0.024615183,-0.137363464,13.23469353,3.915847778,7.410568237,0.045008659,0.336211205,0.098111153,shaking
-0.21492844,-0.011715166,-0.145295949,12.38645935,2.222946167,7.801803112,0.554238456,0.257638114,-0.380622864,shaking
1.295897851,0.218160776,0.533875649,9.969696045,1.746749878,5.856430054,-0.060373942,0.933827718,0.105992635,shaking
-0.206209284,-0.023427327,-0.091724724,15.75074577,3.707672119,7.762313843,0.247302716,0.446380615,0.195976844,shaking
-0.29585307,-0.033264985,0.112042287,14.28634834,3.891921997,8.003997803,0.18850599,0.285963876,-0.032851083,shaking
0.505340279,0.128733928,0.01804972,14.23970222,3.856033325,7.140182495,0.271366374,0.241669718,0.324219767,shaking
0.217669318,0.016462351,0.104305298,14.65603447,3.341567993,10.25204468,0.07229805,0.421677589,0.22933197,shaking
-0.254940151,-0.094131163,-0.14633171,14.13919067,4.453048706,8.069793701,0.620422363,0.313289097,-0.496901376,shaking
-0.027069673,-0.037984048,-0.069044539,12.77288818,3.815368652,9.463607788,0.200095177,0.312294006,0.521511078,shaking
-0.022107342,0.022939931,0.062213379,1.24786377,1.083938599,1.069580078,-0.330459595,1.571304321,0.972295125,shaking
-0.494375783,-0.038743213,-0.067775643,20.55195808,4.176681519,8.898910522,0.111211923,0.210795476,0.19170321,shaking
0.480428357,-0.009481728,0.145124056,16.8658123,4.614562988,7.147353649,0.161366781,0.24363505,0.187027995,shaking
-0.265572334,-0.058253529,0.045085389,16.10369873,3.304489136,5.711669445,0.211144447,0.245055199,-0.091191292,shaking
-0.187258756,-0.023578255,0.040132686,16.52842712,3.818939209,7.501494884,0.078017099,0.078693935,0.219353812,shaking
-0.032116682,-0.012640024,0.111359527,14.28994751,4.188644409,5.039276123,0.236124992,-0.011217117,0.01348877,shaking
-0.053927538,0.015504888,-0.155436438,14.19900513,2.656036377,4.649246216,0.104656982,0.193782552,-0.006826782,shaking
-0.232014941,-0.079690675,-0.03577918,13.72402763,2.951553345,4.497314453,0.169419425,0.053650992,0.274075099,shaking
-0.117963023,-0.023664103,-0.121086238,13.39382744,6.159133911,6.841079235,0.232985497,0.157129288,0.081212997,shaking
0.511494814,0.065662463,0.079243614,14.02552795,3.154937744,7.525420666,0.179474894,0.256139119,0.205582682,shaking
-0.111586354,4.57E-04,-0.011369656,14.9563446,3.448043823,7.478775024,0.054830933,0.292537435,0.227539063,shaking
-0.379327581,-0.02662202,-0.424156348,18.18068123,4.594207764,12.20458984,0.488440959,-3.32E-04,-0.173003133,shaking
-0.375163837,-0.043572091,-0.00623262,13.557724,2.764907837,10.1335907,0.216182709,0.150528908,0.285470009,shaking
0.176839176,0.021258222,0.143727672,20.06501961,3.577270508,9.120239258,0.373864746,0.160013835,-0.049547323,shaking
0.437331442,0.166596122,0.303264652,22.43750191,3.783050537,9.683746338,0.053541183,0.053491592,0.662443161,shaking
-0.168134979,-2.45E-04,0.475191205,19.63430977,3.15852356,10.73660278,0.332202618,0.018784743,0.156955426,shaking
0.060876789,0.094029394,8.17E-04,20.38684273,4.344177246,12.32902527,0.403115273,0.04321003,0.131321907,shaking
0.129887318,-0.001633473,0.191042273,19.28495979,4.639678955,11.78225708,0.293269157,0.170681,0.0049963,shaking
-0.41823936,-0.013477974,-0.028575473,14.96591187,3.154937744,8.470596313,0.279587809,0.208702596,-0.093098958,shaking
0.324077915,0.076979687,0.097759321,16.77011108,3.140579224,8.879776001,0.317223549,0.253679276,0.106738091,shaking
-0.329928601,-0.06516824,-0.107789417,13.3926239,3.867996216,8.657241821,0.444782802,0.047459194,0.011701311,shaking
-0.245589196,-0.044211786,-0.091996873,15.385849,3.565307617,8.650054932,0.269802856,0.105007935,0.292874146,shaking
0.073035505,0.035791273,-0.039132059,13.828125,2.709869385,8.901290894,0.172296524,0.105472565,0.408968925,shaking
-0.210727956,-0.021288147,-0.017515461,17.19722176,3.655029297,7.525436401,0.315307617,0.072771345,0.038397653,shaking
-0.069253769,0.003182827,-0.077743742,15.69691467,3.282958984,8.538787842,0.274253845,0.073562622,0.217432022,shaking
0.163041091,-0.031082666,-0.002746084,13.49551392,3.303283691,8.669189453,0.282209269,0.086774699,0.145840454,shaking
0.390660307,-0.004426778,0.145882459,13.42492676,3.533004761,8.316253662,0.205084664,0.105984279,0.382048471,shaking
-0.23052141,0.023179577,-0.152692944,16.39682198,3.402587891,8.1690979,0.381541252,0.171473503,-0.006157875,shaking
-0.357943738,-5.62E-04,0.055741478,15.38705444,2.94317627,9.501907349,0.34988505,-0.073366292,-8.00E-04,shaking
0.329846788,0.005935767,0.036702999,16.12043762,6.010772705,7.917861462,0.203189087,0.149280802,0.251833089,shaking
0.010382549,0.085264859,0.334355897,18.54556274,3.739974976,11.08235168,0.233439445,0.17723465,0.102626801,shaking
0.002031587,0.010663333,-0.03905606,17.58604431,2.746963501,10.32383728,0.407459259,0.116857529,-0.232213974,shaking
-0.386579844,0.00243924,-0.079256428,16.668396,3.659820557,6.781264782,0.328632609,0.192565918,0.080979411,shaking
0.042087514,0.031352631,0.206348036,17.60638428,3.617950439,11.12782288,0.205478668,0.142473221,0.468553543,shaking
-0.151311173,-5.40E-04,-0.072857686,16.93400574,4.28793335,8.82472229,0.286830902,0.213589668,-0.001522064,shaking
1.505541029,0.030365715,0.468196301,17.27737236,1.82333374,7.405776501,0.041671753,-0.421325684,0.002815247,shaking
-0.360843435,0.011143961,0.167613356,17.82295227,3.950561523,10.91127014,0.293116643,0.320061317,0.150187566,shaking
-0.19336597,-0.008285832,-0.129851065,18.12203979,3.717254639,11.10986328,0.366399129,0.296552531,0.015848796,shaking
-0.291551898,0.028119523,0.1277387,17.57170105,3.220733643,9.86920166,0.376943588,-0.058473587,0.221358299,shaking
0.866387394,0.006639507,-0.033230006,17.7320118,2.305480957,9.8309021,0.25075204,0.468634469,0.153808594,shaking
-0.338477282,0.175853187,0.390302693,29.23909187,8.256439209,12.63650513,0.118572529,-0.213177021,0.107058012,shaking
